ぁ,xa
ァ,xa
あ,a
ア,a
ぃ,xi
ィ,xi
い,i
イ,i
いぃ,yi
イィ,yi
いぇ,ye
イェ,ye
いぃ,ixi
イィ,ixi
いぇ,ixe
イェ,ixe
ぅ,xu
ゥ,xu
う,u
ウ,u
うぁ,wa
ウァ,wa
うぃ,wi
ウィ,wi
うぅ,wu
ウゥ,wu
うぇ,we
ウェ,we
うぉ,wo
ウォ,wo
うぁ,uxa
ウァ,uxa
うぃ,uxi
ウィ,uxi
うぅ,uxu
ウゥ,uxu
うぇ,uxe
ウェ,uxe
うぉ,uxo
ウォ,uxo
ぇ,xe
ェ,xe
え,e
エ,e
ぉ,xo
ォ,xo
お,o
オ,o
か,ka
カ,ka
が,ga
ガ,ga
き,ki
キ,ki
きぃ,kyi
キィ,kyi
きぇ,kye
キェ,kye
きゃ,kya
キャ,kya
きゅ,kyu
キュ,kyu
きょ,kyo
キョ,kyo
きぃ,kixi
キィ,kixi
きぇ,kixe
キェ,kixe
きゃ,kixya
キャ,kixya
きゅ,kixyu
キュ,kixyu
きょ,kixyo
キョ,kixyo
ぎ,gi
ギ,gi
ぎぃ,gyi
ギィ,gyi
ぎぇ,gye
ギェ,gye
ぎゃ,gya
ギャ,gya
ぎゅ,gyu
ギュ,gyu
ぎょ,gyo
ギョ,gyo
ぎぃ,gixi
ギィ,gixi
ぎぇ,gixe
ギェ,gixe
ぎゃ,gixya
ギャ,gixya
ぎゅ,gixyu
ギュ,gixyu
ぎょ,gixyo
ギョ,gixyo
く,ku
ク,ku
くぁ,kwa
クァ,kwa
くぃ,kwi
クィ,kwi
くぅ,kwu
クゥ,kwu
くぇ,kwe
クェ,kwe
くぉ,kwo
クォ,kwo
くぁ,kuxa
クァ,kuxa
くぃ,kuxi
クィ,kuxi
くぅ,kuxu
クゥ,kuxu
くぇ,kuxe
クェ,kuxe
くぉ,kuxo
クォ,kuxo
ぐ,gu
グ,gu
ぐぁ,gwa
グァ,gwa
ぐぃ,gwi
グィ,gwi
ぐぅ,gwu
グゥ,gwu
ぐぇ,gwe
グェ,gwe
ぐぉ,gwo
グォ,gwo
ぐぁ,guxa
グァ,guxa
ぐぃ,guxi
グィ,guxi
ぐぅ,guxu
グゥ,guxu
ぐぇ,guxe
グェ,guxe
ぐぉ,guxo
グォ,guxo
け,ke
ケ,ke
げ,ge
ゲ,ge
こ,ko
コ,ko
ご,go
ゴ,go
さ,sa
サ,sa
ざ,za
ザ,za
し,si
シ,si
しぇ,sye
シェ,sye
しゃ,sya
シャ,sya
しゅ,syu
シュ,syu
しょ,syo
ショ,syo
しぇ,sixe
シェ,sixe
しゃ,sixa
シャ,sixa
しゅ,sixu
シュ,sixu
しょ,sixo
ショ,sixo
し,shi
シ,shi
しぇ,she
シェ,she
しゃ,sha
シャ,sha
しゅ,shu
シュ,shu
しょ,sho
ショ,sho
しぇ,shixe
シェ,shixe
しゃ,shixya
シャ,shixya
しゅ,shixyu
シュ,shixyu
しょ,shixyo
ショ,shixyo
じ,zi
ジ,zi
じぃ,zyi
ジィ,zyi
じぇ,ze
ジェ,ze
じゃ,za
ジャ,za
じゅ,zu
ジュ,zu
じょ,zo
ジョ,zo
じゃ,zya
ジャ,zya
じゅ,zyu
ジュ,zyu
じょ,zyo
ジョ,zyo
じぃ,zixi
ジィ,zixi
じぇ,zixe
ジェ,zixe
じゃ,zixya
ジャ,zixya
じゅ,zixyu
ジュ,zixyu
じょ,zixyo
ジョ,zixyo
じ,ji
ジ,ji
じぃ,jyi
ジィ,jyi
じぇ,je
ジェ,je
じゃ,ja
ジャ,ja
じゅ,ju
ジュ,ju
じょ,jo
ジョ,jo
じゃ,jya
ジャ,jya
じゅ,jyu
ジュ,jyu
じょ,jyo
ジョ,jyo
じぃ,jixi
ジィ,jixi
じぇ,jixe
ジェ,jixe
じゃ,jixya
ジャ,jixya
じゅ,jixyu
ジュ,jixyu
じょ,jixyo
ジョ,jixyo
す,su
ス,su
すぁ,sa
スァ,sa
すぃ,si
スィ,si
